Petition,URL,State,Signatures Count
End 'other children a paying parent supports' deductions to Child Maintenance.,https://petition.parliament.uk/petitions/300088,open,71
Give the British Nationals (Overseas) of Hong Kong full British citizenship.,https://petition.parliament.uk/petitions/300091,open,15290
MPs resigning or leaving their political party should trigger a by election. ,https://petition.parliament.uk/petitions/300092,open,128
"Victims of scamming should receive support, either financial or well-being.",https://petition.parliament.uk/petitions/300094,rejected,6
Release 'The Russia Report' in to potential Russian interference in UK democracy,https://petition.parliament.uk/petitions/300097,rejected,11
"We call on DEFRA, to reinstate the ban on the use of metaldehyde slug pellets.",https://petition.parliament.uk/petitions/300098,open,7632
Make Hedgehogs a Protected Species,https://petition.parliament.uk/petitions/300100,open,47304
Hedgehogs to be included in schedule 5 of the wildlife and countryside act,https://petition.parliament.uk/petitions/300103,rejected,22
Introduce Mandatory Ethnicity Pay Gap Reporting,https://petition.parliament.uk/petitions/300105,open,119912
Suspend sanctions against Iran for the duration of the coronavirus pandemic,https://petition.parliament.uk/petitions/300109,open,14342
ACM cladding fund is discriminatory. Include ALL types of cladding.,https://petition.parliament.uk/petitions/300111,rejected,9
Schedule General Elections to be every 4 years.,https://petition.parliament.uk/petitions/300112,open,91
Sack South Western Railway and hand over running of South Western to TfL,https://petition.parliament.uk/petitions/300113,open,452
Make it an offence to create & distribute fakenews for political/financial gain,https://petition.parliament.uk/petitions/300115,open,406
Granting full British Citizenship to British National (Overseas) in Hong Kong.,https://petition.parliament.uk/petitions/300117,rejected,8
Revoke the TV licence using legislation,https://petition.parliament.uk/petitions/300118,open,42949
Fund more school places for children with SEN,https://petition.parliament.uk/petitions/300119,open,308
Decrease the Foreign Aid budget once we have left the EU.,https://petition.parliament.uk/petitions/300120,open,329
Shorten School days,https://petition.parliament.uk/petitions/300121,rejected,6
Highway Code Rules 163 and 215 to be made law. Pass horses wide and slow. ,https://petition.parliament.uk/petitions/300122,open,28631
CANZUK: Enter talks with Australia to join the Trans-Tasman Travel Agreement,https://petition.parliament.uk/petitions/300123,open,562
Access Protection Markings to be Enforced by Law,https://petition.parliament.uk/petitions/300127,open,24
Close schools in counties affected with Coronavirus (COVID-19).,https://petition.parliament.uk/petitions/300129,rejected,6
Review the National Curriculum for history & include the Holocaust as a subject,https://petition.parliament.uk/petitions/300133,open,79
The Legalisation of Euthanasia in the UK,https://petition.parliament.uk/petitions/300134,open,1012
Horace 'Harry' Billinge  his MBE should be changed to a knighthood. He is a hero,https://petition.parliament.uk/petitions/300137,rejected,7
Don’t criminalise trespass,https://petition.parliament.uk/petitions/300139,open,19011
Release The official research on the characteristics of grooming gangs,https://petition.parliament.uk/petitions/300141,rejected,21
Re-consider student nurses for intakes 2017-2019,https://petition.parliament.uk/petitions/300145,rejected,21
Impose sanctions on China over its treatment of Uyghur Muslims,https://petition.parliament.uk/petitions/300146,open,1209
Permanently Ban Fracking,https://petition.parliament.uk/petitions/300148,rejected,17
"Allow child benefit to be claimed on household income, not individual income.",https://petition.parliament.uk/petitions/300149,open,272
Ban all single use plastic,https://petition.parliament.uk/petitions/300152,open,1430
Hold a referendum to return UK to the European Union,https://petition.parliament.uk/petitions/300153,rejected,9
Stop the migration of people to Universal Credit,https://petition.parliament.uk/petitions/300154,open,69
Ban Smacking in England,https://petition.parliament.uk/petitions/300156,open,161
Call for Right to Appeal/Reverse DVSA Examiner’s Decisions on ALL Driving Tests,https://petition.parliament.uk/petitions/300157,open,28
All children from Hattersley should have a priority to get in alder high school,https://petition.parliament.uk/petitions/300162,rejected,21
To allow sufferers of any peanut/nut allergy to join any of the UK armed forces.,https://petition.parliament.uk/petitions/300163,rejected,6
"Ban pelagic trawlers, attach pingers to all boats, stop slaughter of dolphins.",https://petition.parliament.uk/petitions/300164,open,3734
Haydn's Law – All children 16 and under to wear a helmet when riding a bicycle,https://petition.parliament.uk/petitions/300165,open,3183
Triple Lock the NHS,https://petition.parliament.uk/petitions/300166,rejected,6
Abolish the London Mayoralty and the Greater London Authority?,https://petition.parliament.uk/petitions/300167,rejected,10
Repeal the 2013 and 2017 HS2 Hybrid Bills halting all HS2 works immediately.,https://petition.parliament.uk/petitions/300170,open,23513
Extend the Gambling Act to cover Loot Boxes,https://petition.parliament.uk/petitions/300171,open,33587
BBC to become a Subscription only Service.,https://petition.parliament.uk/petitions/300172,rejected,7
Stop the ULEZ Expansion to the North and South Circular roads,https://petition.parliament.uk/petitions/300176,rejected,9
Publish new carbon budgets linked to the Paris Agreement and Climate Change Act,https://petition.parliament.uk/petitions/300178,open,2001
All halal and kosher certified products are to be prominently labelled as such.,https://petition.parliament.uk/petitions/300181,rejected,21
Equal (50/50) rights for both parents in the event of a separation.,https://petition.parliament.uk/petitions/300183,open,4325
Make it Law to Label Non-Religiously Slaughtered Meat Products.,https://petition.parliament.uk/petitions/300185,open,2351
Guarantee financial help to those out of work due to the Coronavirus outbreak.,https://petition.parliament.uk/petitions/300186,rejected,9
Hampshire County Council must urgently repair the dangerous streets  in Romsey.,https://petition.parliament.uk/petitions/300187,rejected,16
Compulsory random drug testing to protect children and vulnerable adults,https://petition.parliament.uk/petitions/300188,open,51
Universities and schools must close due to spread of corona virus.,https://petition.parliament.uk/petitions/300190,rejected,8
Stop the self-regulation of statutory Adult Services by Local Authorities.,https://petition.parliament.uk/petitions/300191,rejected,6
"Ensure, where possible, government contracts are awarded to UK companies",https://petition.parliament.uk/petitions/300193,open,2877
Make the death penalty an option where intent to kill can be proven,https://petition.parliament.uk/petitions/300195,open,134
We ask the Government to have an NHS National Database Centre,https://petition.parliament.uk/petitions/300199,open,141
Shut Schools Down Due To CoronaVirus Outbreak,https://petition.parliament.uk/petitions/300200,rejected,6
Make cannabis legal for recreational use for ages 21+,https://petition.parliament.uk/petitions/300201,open,8077
all venues and events for children to check the sexual offenders register by law,https://petition.parliament.uk/petitions/300202,rejected,12
The government should release the review into the grooming gang problem.,https://petition.parliament.uk/petitions/300203,rejected,21
Parliament to protect housing benefit payments during Coronavirus.,https://petition.parliament.uk/petitions/300204,open,481
All halal and kosher certified products are to be prominently labelled as such.,https://petition.parliament.uk/petitions/300205,open,1397
Restrict all foreign travel until the corona virus is no longer a risk.,https://petition.parliament.uk/petitions/300206,rejected,14
Shut down all schools in the uk to reduce the risk of coronavirus!!!,https://petition.parliament.uk/petitions/300209,rejected,15
Make nurseries exempt from business rates to support the childcare sector,https://petition.parliament.uk/petitions/300210,open,11165
End the animal cruelty laws exemptions given to UK halal and shechita abattoirs,https://petition.parliament.uk/petitions/300212,rejected,7
Ban spitting in the street especially in light of the covid-19 threat,https://petition.parliament.uk/petitions/300213,open,121
Change Child Benefit cap from £60k sole earner to £100k joint or single income.,https://petition.parliament.uk/petitions/300215,rejected,6
Independent CCTV monitoring  in English abattoirs,https://petition.parliament.uk/petitions/300221,open,1281
Ban All Pheasant Shooting in England and The Rearing Of Game Birds For Shooting.,https://petition.parliament.uk/petitions/300222,open,308
Ban the live export of animals,https://petition.parliament.uk/petitions/300225,open,168
Require all broadband providers to support a common router standard,https://petition.parliament.uk/petitions/300226,open,97
Ban all plastic bottles under 1litre,https://petition.parliament.uk/petitions/300227,rejected,8
Protect the skies of the United Kingdom from Starlink pollution,https://petition.parliament.uk/petitions/300228,rejected,6
Ban discrimination in private rental sector towards people on benefits.,https://petition.parliament.uk/petitions/300229,open,84
Review how Social Services operate and bring in procedures to protect parents,https://petition.parliament.uk/petitions/300231,open,1850
Make the legal age for social media users to 18+,https://petition.parliament.uk/petitions/300232,open,124
Declare Covid-19 strain of coronavirus a notifiable disease,https://petition.parliament.uk/petitions/300236,rejected,6
Release the report into Russian interference in the UK democratic system,https://petition.parliament.uk/petitions/300237,rejected,21
Release the Home Office's Grooming Gang Review in full,https://petition.parliament.uk/petitions/300239,open,129139
Pass law to ensure no unsaleable goods are destroyed but donated to good causes.,https://petition.parliament.uk/petitions/300242,open,309
Ban the advertising and endorsement of Internal Combustion Engine Vehicles.,https://petition.parliament.uk/petitions/300243,open,37
Replace the current press self regulatory system with a statutory regulator,https://petition.parliament.uk/petitions/300246,open,771
Help independent businesses creating regeneration in struggling High Streets.,https://petition.parliament.uk/petitions/300250,open,94
Place political advertising in the remit of the advertising standards authority,https://petition.parliament.uk/petitions/300252,rejected,6
Ensure balance and fairness in political reporting,https://petition.parliament.uk/petitions/300254,rejected,21
Introduce Human Trafficking into the secondary school curriculum,https://petition.parliament.uk/petitions/300256,open,49
Ban non-stun slaughter in the UK. ,https://petition.parliament.uk/petitions/300257,open,17214
Change the voting system from First Past The Post to Instant Runoff Voting,https://petition.parliament.uk/petitions/300258,open,59
Introduce the topic of Body Dysmorphic Disorder into the national curriculum.,https://petition.parliament.uk/petitions/300259,open,36
Remove MPs 'special' income tax exemption for accommodation expenses,https://petition.parliament.uk/petitions/300261,open,294
Demand that the UK government publishes the Russia Report.,https://petition.parliament.uk/petitions/300265,rejected,7
Change the Sexual Offences Act so women can be charged with rape against males,https://petition.parliament.uk/petitions/300270,open,22644
Increase salary for school teachers.,https://petition.parliament.uk/petitions/300271,open,125
To introduce video recording and broadcasting of proceedings in the civil courts,https://petition.parliament.uk/petitions/300273,rejected,6
Introduce a form of proportional representation for all UK elections,https://petition.parliament.uk/petitions/300274,open,3977
Reimburse students caught up in the University strikes,https://petition.parliament.uk/petitions/300275,rejected,10
Reverse the decision to support new onshore wind farms,https://petition.parliament.uk/petitions/300276,open,542
Make General Elections bank holidays,https://petition.parliament.uk/petitions/300278,open,149
Add Environmental Conservation to the national curriculum for all schools,https://petition.parliament.uk/petitions/300279,open,897
Subject the Child Maintenance Service to review and ensure it's fit for purpose,https://petition.parliament.uk/petitions/300281,open,1020
Introduce a minimum Wage (fee) for Gig-Economy Workers,https://petition.parliament.uk/petitions/300282,open,36
Ban all advertising for online gambling sites,https://petition.parliament.uk/petitions/300285,open,485
Run a nationwide information campaign to reduce roadside litter.,https://petition.parliament.uk/petitions/300286,open,415
Include locations of latest Coronavirus cases daily. Once a week is not enough!,https://petition.parliament.uk/petitions/300289,rejected,21
Abolish the Supreme Court and return power to the Lords of Appeal in Ordinary.,https://petition.parliament.uk/petitions/300293,rejected,6
End BSL,https://petition.parliament.uk/petitions/300294,rejected,12
Will the gov support self-employed individuals financially during Corona Virus?,https://petition.parliament.uk/petitions/300296,rejected,7
Rejoin the EU under Article 49 TEU,https://petition.parliament.uk/petitions/300297,open,18616
UK public to be provided with daily location updates regarding Covid19 spread.,https://petition.parliament.uk/petitions/300299,rejected,21
Repeal the Fixed Term Parliaments Act.,https://petition.parliament.uk/petitions/300300,open,156
Close schools in order to prevent the spread of COVID-19.,https://petition.parliament.uk/petitions/300304,rejected,6
Restore the concept of Free Speech and abolish hate speech laws.,https://petition.parliament.uk/petitions/300305,open,213
Make the Life in the UK test questions more relevant to actual life in the UK.,https://petition.parliament.uk/petitions/300306,open,405
Call a Referendum on Irish Unity,https://petition.parliament.uk/petitions/300307,open,29
Fund the creation of a new hospital between Shrewsbury and Telford,https://petition.parliament.uk/petitions/300309,open,603
Grant cats the same status under the Road Traffic Act 1988 as dogs,https://petition.parliament.uk/petitions/300310,open,13993
Hold a referendum to scrap the UK's policy of Net Zero CO2 by 2050,https://petition.parliament.uk/petitions/300316,open,7232
Create a national database of people banned from keeping animals,https://petition.parliament.uk/petitions/300317,open,1954
"Release daily, detailed information on Coronavirus cases as other countries do",https://petition.parliament.uk/petitions/300322,rejected,21
Legislate on the use of Vegan labelling,https://petition.parliament.uk/petitions/300324,open,882
Reduce exam stress on students within the education system lowering anxiety,https://petition.parliament.uk/petitions/300325,rejected,7
To ensure that Self Employed workers have the right to Statutory benefits.,https://petition.parliament.uk/petitions/300326,rejected,6
A motion for the introduction of a Digital Data Dividend (The DDD),https://petition.parliament.uk/petitions/300327,open,1225
Take Immediate Action To Prevent The Further Spread of Covid-19,https://petition.parliament.uk/petitions/300329,rejected,6
"Make the licensing and monitoring of Animal rescues, compulsory.",https://petition.parliament.uk/petitions/300335,open,52
Include self-employed in statutory sick pay during Coronavirus,https://petition.parliament.uk/petitions/300336,open,698308
Appoint an Independent Ombudsman/Regulator for the Veterinary Profession.,https://petition.parliament.uk/petitions/300339,open,166
Raise national speed limit to 80 mph on motorways and dual carriageways,https://petition.parliament.uk/petitions/300342,open,59
Give parents the option to keep children at home during the covid-19 outbreak,https://petition.parliament.uk/petitions/300345,rejected,21
Let all votes count. Introduce a fair proportional electoral system,https://petition.parliament.uk/petitions/300350,rejected,21
Stop the Welney Wash flooding the A1101,https://petition.parliament.uk/petitions/300351,rejected,7
Support British Food Producers by ensuring that marks of origin remain,https://petition.parliament.uk/petitions/300353,open,13029
Make it law that all local councils should have annual road checks in their area,https://petition.parliament.uk/petitions/300356,open,79
Change religious slaughter law to mirror the licensing requirements in Germany,https://petition.parliament.uk/petitions/300357,rejected,21
Make it mandatory for Police & CPS to provide counselling to ALL victims of CSA,https://petition.parliament.uk/petitions/300359,open,772
Make all parcel delivery businesses equip drivers with cameras,https://petition.parliament.uk/petitions/300362,open,44
Ban the use of peat in gardening and horticulture,https://petition.parliament.uk/petitions/300368,open,2840
Stop Minting 1p & 2p Coins ,https://petition.parliament.uk/petitions/300369,open,33
Add the British National Anthem to the National Curriculum,https://petition.parliament.uk/petitions/300371,open,1918
Abolish (or raise threshold on) luxury car tax for Ultra Low Emission Vehicles,https://petition.parliament.uk/petitions/300373,open,46
Reform the Electoral System to Proportional Representation.,https://petition.parliament.uk/petitions/300374,rejected,6
Give UK Citizens’ Family Equal Immigration Rights to that of EU Citizens’ Family,https://petition.parliament.uk/petitions/300377,open,43
Predicted grades for A Level students during the potential Coronavirus pandemic,https://petition.parliament.uk/petitions/300378,rejected,10
Require employers to pay workers on a weekly basis.,https://petition.parliament.uk/petitions/300379,open,28
"Provide all nhs Staff with full pay, off sick, if they have coronavirus 19.",https://petition.parliament.uk/petitions/300380,open,201
Build the cancelled platforms 15/16 at Manchester Piccadilly.,https://petition.parliament.uk/petitions/300383,rejected,6
Reduce the temperature of UK hospitals by one degree.,https://petition.parliament.uk/petitions/300387,rejected,6
Please allow veterinarians to use emergency lights when attending emergencies,https://petition.parliament.uk/petitions/300392,open,250
Abolish the House of Lords,https://petition.parliament.uk/petitions/300395,open,321
No prosecution for parents that remove child from school during a pandemic.,https://petition.parliament.uk/petitions/300399,open,90770
Fund better support for women experiencing pregnancy loss and miscarriage,https://petition.parliament.uk/petitions/300401,open,442
Publish local coronavirus cases daily instead of weekly,https://petition.parliament.uk/petitions/300402,rejected,12
Close Schools/Colleges down for an appropriate amount of time amidst COVID19.,https://petition.parliament.uk/petitions/300403,open,684258
Ban trade deals with countries that deny climate change or not meeting targets.,https://petition.parliament.uk/petitions/300405,open,57
Close all schools and airports to prevent the spread of Coronavirus.,https://petition.parliament.uk/petitions/300406,rejected,6
Revise the NPPF to include the protection of all but particularly old hedgerows.,https://petition.parliament.uk/petitions/300407,open,1789
Make the boundaries commission answerable to the speaker or to the crown,https://petition.parliament.uk/petitions/300408,rejected,21
Scrap all  election deposits to open up democracy,https://petition.parliament.uk/petitions/300410,open,113
Extend the transition; delay negotiations until after the coronavirus outbreak,https://petition.parliament.uk/petitions/300412,open,103966
Please continue to provide free TV Licences and add free fast Broadband for all,https://petition.parliament.uk/petitions/300413,rejected,8
Prevent the closure of the A38 Bridgewater Rd North at Toneway Creech Castle Jtn,https://petition.parliament.uk/petitions/300414,rejected,11
Raise awareness on human trafficking and introduce it to school curriculums.,https://petition.parliament.uk/petitions/300415,rejected,7
Civil servants contracts must be reviewed in the event of a change in government,https://petition.parliament.uk/petitions/300416,rejected,21
"Food Labeling of ALL Meat, to include method of slaughter",https://petition.parliament.uk/petitions/300418,rejected,7
Create charge for use of non-biodegradable material,https://petition.parliament.uk/petitions/300421,open,76
Ensure all royal visits around the UK are fully funded by the Royal Household.,https://petition.parliament.uk/petitions/300422,open,3713
Start using eco-friendly methods of transport to deliver food in city centres,https://petition.parliament.uk/petitions/300423,rejected,11
The Government should fund free TV licences for all over-75s.,https://petition.parliament.uk/petitions/300425,open,187
"Change approach to COV-19 - if schools have ""confirmed"" cases they should close.",https://petition.parliament.uk/petitions/300426,open,3137
Make The Masters and The Open golf tournaments Category A free-to-air,https://petition.parliament.uk/petitions/300427,open,703
Remove the protected status of badgers.,https://petition.parliament.uk/petitions/300435,open,198
Increase the success criteria for all future referendums to 60% of the vote,https://petition.parliament.uk/petitions/300437,open,89
Stop MPs payrise,https://petition.parliament.uk/petitions/300438,rejected,21
Introduce emergency measures to support gig economy workers to self isolate,https://petition.parliament.uk/petitions/300439,rejected,21
Coronavirus quarantine UKPOPULATION for two weeks stop the virus cycle killing.,https://petition.parliament.uk/petitions/300441,rejected,6
Get volunteers from people already entering transport system to improve hygiene,https://petition.parliament.uk/petitions/300442,rejected,6
Instigate an Animal Abuser Register,https://petition.parliament.uk/petitions/300445,rejected,6
Support the Bill for a June Bank Holiday (United Kingdom Day).,https://petition.parliament.uk/petitions/300447,open,101
Call for the UK government to formally recognise the State of Palestine,https://petition.parliament.uk/petitions/300450,open,8339
Include gardening in the National Curriculum,https://petition.parliament.uk/petitions/300453,open,353
Freeze MP's Pay Until Budget Cuts Stop and Public Services Spend increase by 25%,https://petition.parliament.uk/petitions/300454,rejected,12
Spend Road Tax on repairing roads.,https://petition.parliament.uk/petitions/300455,rejected,10
Return the Chagos Islands to Mauritius,https://petition.parliament.uk/petitions/300456,open,101
Revoke IR35 Legislation that is causing significant damage to UK businesses,https://petition.parliament.uk/petitions/300458,open,1630
Appoint an independent panel to conduct a Public Inquiry into the DVSA,https://petition.parliament.uk/petitions/300462,open,13
Remove mandatory financial advice clause for Defined Benefit Pension transfers.,https://petition.parliament.uk/petitions/300464,open,12
Close all U.K. schools to prevent spread of corona virus.,https://petition.parliament.uk/petitions/300465,rejected,6
Contain the Coronavirus by placing patients and staff in one hospital building,https://petition.parliament.uk/petitions/300466,rejected,7
Introduce a licensing scheme to control the purchase and ownership of animals,https://petition.parliament.uk/petitions/300467,open,41
"Disinfect public transport & TFL, to prevent spread of Coronavirus till it ends",https://petition.parliament.uk/petitions/300470,rejected,21
Ban wearing face coverings in public places.,https://petition.parliament.uk/petitions/300471,open,2571
To block Huawei equipment to be used in 5G network,https://petition.parliament.uk/petitions/300472,open,9859
Hold a public inquiry into the 2016 EU membership referendum,https://petition.parliament.uk/petitions/300473,open,5218
Legalise Cannabis for recreational and medicinal purposes,https://petition.parliament.uk/petitions/300475,open,2034
PHE to provide the exact location of COVID-19 cases every 24 hours,https://petition.parliament.uk/petitions/300477,rejected,12
Make nit nurses mandatory in schools,https://petition.parliament.uk/petitions/300478,open,39
Reject Boris Johnson's plan to ban public bodies from criticizing Israel,https://petition.parliament.uk/petitions/300484,rejected,7
New tougher data laws giving the public the right of access to all their records,https://petition.parliament.uk/petitions/300488,rejected,6
End Breed Specific Legislation,https://petition.parliament.uk/petitions/300490,rejected,11
"Hold an Independent public Enquiry into CSE, trafficking, rape and assault",https://petition.parliament.uk/petitions/300491,rejected,17
A Knighthood for Harry Bellinge. In addition to his MBE.,https://petition.parliament.uk/petitions/300493,rejected,20
Parents should have the right to keep kids at home due to outbreak of COVID-19,https://petition.parliament.uk/petitions/300495,rejected,21
Abolish the Supreme Court and return power to the Lords of Appeal in Ordinary.,https://petition.parliament.uk/petitions/300498,open,759
CLOSE SCHOOLS IN THE AFFECTED AREAS OF UK BY CORONAVIRUS,https://petition.parliament.uk/petitions/300503,rejected,12
Stop mps payrise while people on uc suffer,https://petition.parliament.uk/petitions/300505,rejected,21
Make the prorogation of Parliament non justiciable by any court in the land.,https://petition.parliament.uk/petitions/300506,open,30
Allow makeup and not lock the toilets at school,https://petition.parliament.uk/petitions/300507,rejected,7
Stop the proposed 2020 MP’s Pay rise!,https://petition.parliament.uk/petitions/300511,rejected,21
make all prospective MPs put thier salary expectations on the ballot paper.,https://petition.parliament.uk/petitions/300516,rejected,16
Require working from home if can work remotely during COVID-19 period,https://petition.parliament.uk/petitions/300517,rejected,21
Ban smart motorways & reinstate the hard shoulders to avoid unnecessary deaths .,https://petition.parliament.uk/petitions/300518,rejected,6
"Stop gatherings, especially schools, office works and public entertainments",https://petition.parliament.uk/petitions/300519,rejected,21
Ban Horses From Public Roads,https://petition.parliament.uk/petitions/300521,open,44
Get children from same family into same schools,https://petition.parliament.uk/petitions/300523,rejected,6
We don't want the concert of Faly Ipupa here in UK.,https://petition.parliament.uk/petitions/300527,rejected,17
Require universities to reimburse students' tuition fees during strike action,https://petition.parliament.uk/petitions/300528,open,136142
Continue the Red Diesel Exemption Status for Legitimate UK Industry & Business.,https://petition.parliament.uk/petitions/300530,open,661
Trace & prosecute hoax callers who cause significant cost to emergency services,https://petition.parliament.uk/petitions/300532,rejected,9
The UK should ban the importation of Shark Fins.,https://petition.parliament.uk/petitions/300535,open,12832
Introduce a Pet Removal/Protection Order for victims of Domestic Abuse,https://petition.parliament.uk/petitions/300537,open,281
Make the BBC library(pre subscription)free for the UK population who paid for it,https://petition.parliament.uk/petitions/300541,rejected,15
Stop downgrading motorways. Its not smart its dangerous. Keep the Hard Shoulder.,https://petition.parliament.uk/petitions/300543,rejected,8
Make it possible to report dangerous driving videos from social media,https://petition.parliament.uk/petitions/300546,rejected,12
Keep the BBC License Fee and save the BBC.,https://petition.parliament.uk/petitions/300549,open,145
Stop flights into the uk during coronavirus outbreak like other countries are.,https://petition.parliament.uk/petitions/300553,rejected,6
Do more to prevent the spread of Coronavirus (COVID-19) in the UK,https://petition.parliament.uk/petitions/300555,rejected,10
Halt flights into the UK to contain/delay the spread of Novel Coronavirus.,https://petition.parliament.uk/petitions/300556,rejected,14
Corrections and clarifications in UK media to be as prominent as original story,https://petition.parliament.uk/petitions/300557,open,1066
Make university fees free,https://petition.parliament.uk/petitions/300560,open,314
Replace Breed Specific Legislation with a new statutory framework,https://petition.parliament.uk/petitions/300561,open,102457
MPs to be held legally accountable for claims that affect referendums/elections.,https://petition.parliament.uk/petitions/300565,rejected,8
Call the government to reduce UK University tuition fees from £9250 to £3000,https://petition.parliament.uk/petitions/300566,open,185
Safeguard adult entertainers from discrimination under the Equality Act 2010,https://petition.parliament.uk/petitions/300567,rejected,13
Urge India and UN to send UN Peacekeepers to Kashmir and carry out a plebiscite,https://petition.parliament.uk/petitions/300570,open,1405
Introduce Minimum Wage For 16 And 17 Year Olds!,https://petition.parliament.uk/petitions/300574,rejected,6
Require phones to receive security updates for 5 years,https://petition.parliament.uk/petitions/300575,open,50
Abolish the tv license not fit for purpose,https://petition.parliament.uk/petitions/300576,rejected,8
Ground the Boeing 737 Max for good,https://petition.parliament.uk/petitions/300582,rejected,7
Fund more support for mental health.,https://petition.parliament.uk/petitions/300585,open,113
Create a separate English Parliament,https://petition.parliament.uk/petitions/300587,open,177
Limited MPs pay rise to the average for public sector workets,https://petition.parliament.uk/petitions/300588,rejected,6
Stop non-stun slaughter as it causes suffering  to the animals.,https://petition.parliament.uk/petitions/300590,rejected,7
Ensure high quality university lecturing by making pedagogy training mandatory,https://petition.parliament.uk/petitions/300591,open,56
